,Description,Calories,Protein,TotalFat,Carbohydrate
4515,TOFU FIRM PREP W/CA SULFATE&MAGNESIUM CHLORIDE (NIGARI),70.0,8.19,4.17,1.69
4516,TOFU SOFT PREP W/CA SULFATE&MAGNESIUM CHLORIDE (NIGARI),61.0,6.55,3.69,1.8
4517,TOFU DRIED-FROZEN (KOYADOFU),480.0,47.94,30.34,14.56
4518,TOFU FRIED,271.0,17.19,20.18,10.49
4519,OKARA,77.0,3.22,1.73,12.54
4520,TOFU SALTED&FERMENTED (FUYU),116.0,8.15,8.0,5.15
4521,YARDLONG BNS MATURE SEEDS RAW,347.0,24.33,1.31,61.91
4522,YARDLONG BNS MATURE SEEDS CKD BLD WO/SALT,118.0,8.29,0.45,21.09
4523,WINGED BNS MATURE SEEDS RAW,409.0,29.65,16.32,41.71
4524,WINGED BNS MATURE SEEDS CKD BLD WO/ SALT,147.0,10.62,5.84,14.94
4525,HUMMUS HOME PREP,177.0,4.86,8.59,20.12
4526,FALAFEL HOME-PREPARED,333.0,13.31,17.8,31.84
4527,SOYMILK ORIGINAL & VANILLA W/ ADDED CA VITAMINS A & D,43.0,2.6,1.47,4.92
4528,LENTILS PINK RAW,345.0,24.95,2.17,59.15
4529,BEANS RED KIDNEY MATURE SEEDS CND DRND SOL,124.0,7.98,1.05,21.49
4530,BEANS PINTO CND DRND SOL,114.0,6.99,0.9,20.22
4531,VEGGIE BURGERS OR SOYBURGERS  UNPREP,177.0,15.7,6.3,14.27
4532,PEANUT SPRD RED SUGAR,650.0,24.8,54.89,14.23
4533,PEANUT BUTTER SMOOTH RED FAT,520.0,25.9,34.0,35.65
4534,ENSURE FIBER W/ FOS LIQ,101.0,3.43,2.38,16.36
4535,PEANUT BUTTER SMOOTH VIT & MINERAL FORT,591.0,25.72,50.81,18.75
4536,PEANUT BUTTER CHUNKY VITAMIN&MINERAL FORT,593.0,26.06,51.47,17.69
4537,CHICKPEA FLOUR (BESAN),387.0,22.39,6.69,57.82
4538,HUMMUS COMMERCIAL,166.0,7.9,9.6,14.29
4539,MORI-NU TOFU SILKEN SOFT,55.0,4.8,2.7,2.9
4540,MORI-NU TOFU SILKEN FIRM,62.0,6.9,2.7,2.4
4541,MORI-NU TOFU SILKEN EX FIRM,55.0,7.4,1.9,2.0
4542,SOYMILK CHOC UNFORTIFIED,63.0,2.26,1.53,9.95
4543,USDA CMDTY PNUT BUTTER SMOOTH,588.0,21.93,49.54,23.98
4544,SOYMILK CHOC W/ ADDED CA VITAMINS A & D,63.0,2.26,1.53,9.95
4545,REFRIED BNS CND VEGETARIAN,83.0,5.28,0.87,13.5
4546,REFRIED BNS CND FAT-FREE,79.0,5.34,0.45,13.5
4547,FRIJOLES ROJOS VOLTEADOS (REFRIED BNS RED CANNED),144.0,5.0,6.93,15.47
4548,TEMPEH CKD,196.0,18.19,11.38,9.35
4549,SOY PROT ISOLATE PROT TECHNOLOGIES INTERNATIONAL SUPRO,388.0,87.75,4.0,0.0
4550,SOY PROT ISOLATE PROT TECHNOLOGIES INTERNATIONAL PROPLUS,380.0,86.0,4.0,0.0
4551,CAMPBELL SOUP CO. CAMPBELL'S BRN SUGAR&BACON FLAV BKD BNS,123.0,3.85,1.92,23.08
4552,CAMPBELL SOUP COMPANY CAMPBELL'S PORK & BNS,108.0,4.62,1.15,19.23
4553,CAMPBELL SOUP COMPANY PACE TRADITIONAL REFRIED BNS,67.0,4.17,0.0,10.83
4554,CAMPBELL SOUP COMPANY PACE SALSA REFRIED BNS,60.0,3.33,0.0,11.67
4555,CAMPBELL SOUP COMPANY PACE SPICY JALAPENO REFRIED BNS,63.0,4.17,0.0,11.67
4556,VITASOY USA ORGANIC NASOYA EX FIRM TOFU,98.0,10.1,5.2,2.6
4557,VITASOY USA ORGANIC NASOYA FIRM TOFU,84.0,8.9,4.4,2.3
4558,VITASOY USA  ORGANIC NASOYA SILKEN TOFU,47.0,4.8,2.5,1.4
4559,VITASOY USA VITASOY ORGANIC CREAMY ORIGINAL SOYMILK,44.0,2.9,1.6,4.5
4560,VITASOY USA VITASOY ORGNAIC CLASSIC ORIGINAL SOYMILK,47.0,3.2,1.8,4.5
4561,VITASOY USA VITASOY LT VANILLA SOYMILK,30.0,1.6,0.82,4.1
4562,SOYMILK (ALL FLAVORS) UNSWTND W/ ADDED CA VITAMINS A & D,33.0,2.86,1.61,1.74
4563,SOYMILK (ALL FLAVORS) ENHANCED,45.0,2.94,1.99,3.45
4564,SOYMILK ORIGINAL & VANILLA LT W/ ADDED CA VITAMINS A & D,30.0,2.38,0.77,3.51
4565,SOYMILK CHOC & OTHER FLAVORS LT W/ ADDED CA VITAMINS A & D,47.0,2.1,0.64,8.24
4566,SOYMILK ORIGINAL & VANILLA LT UNSWTND W/ ADDED CA VIT A & D,34.0,2.62,0.85,3.85
4567,SOYMILK (ALL FLAVORS) LOWFAT W/ ADDED CA VITAMINS A & D,43.0,1.65,0.62,7.2
4568,SOYMILK (ALL FLAVORS) NONFAT W/ ADDED CA VITAMINS A & D,28.0,2.47,0.04,4.14
4569,SOYMILK CHOC NONFAT W/ ADDED CA VITAMINS A & D,44.0,2.47,0.04,8.51
4570,SILK PLN SOYMILK,41.0,2.88,1.65,3.29
4571,SILK VANILLA SOYMILK,41.0,2.47,1.44,4.12
4572,SILK CHOC SOYMILK,58.0,2.06,1.44,9.47
4573,SILK LT PLN SOYMILK,29.0,2.47,0.82,3.29
4574,SILK LT VANILLA SOYMILK,33.0,2.47,0.82,4.12
4575,SILK LT CHOC SOYMILK,49.0,2.06,0.62,9.05
4576,SILK PLUS OMEGA-3 DHA SOYMILK,45.0,2.88,2.06,3.29
4577,SILK PLUS FOR BONE HEALTH SOYMILK,41.0,2.47,1.44,4.53
4578,SILK PLUS FIBER SOYMILK,41.0,2.47,1.44,5.76
4579,SILK UNSWTND SOYMILK,33.0,2.88,1.65,1.65
4580,SILK VERY VANILLA SOYMILK,53.0,2.47,1.65,7.82
4581,SILK NOG SOYMILK,74.0,2.46,1.64,12.3
4582,SILK CHAI SOYMILK,53.0,2.47,1.44,7.82
4583,SILK MOCHA SOYMILK,58.0,2.06,1.44,9.05
4584,SILK COFFEE SOYMILK,62.0,2.06,1.44,10.29
4585,SILK VANILLA SOY YOGURT (FAMILY SIZE),79.0,2.64,1.76,13.66
4586,SILK VANILLA SOY YOGURT (SINGLE SERVING SIZE),88.0,2.94,1.76,14.71
4587,SILK PLN SOY YOGURT,66.0,2.64,1.76,9.69
4588,SILK STRAWBERRY SOY YOGURT,94.0,2.35,1.18,18.24
4589,SILK RASPBERRY SOY YOGURT,88.0,2.35,1.18,17.65
4590,SILK PEACH SOY YOGURT,94.0,2.35,1.18,18.82
4591,SILK BLACK CHERRY SOY YOGURT,88.0,2.35,1.18,17.06
4592,SILK BLUEBERRY SOY YOGURT,88.0,2.35,1.18,17.06
4593,SILK KEY LIME SOY YOGURT,88.0,2.35,1.18,17.65
4594,SILK BANANA-STRAWBERRY SOY YOGURT,88.0,2.35,1.18,17.06
4595,SILK ORIGINAL CREAMER,100.0,0.0,6.67,6.67
4596,SILK FRENCH VANILLA CREAMER,133.0,0.0,6.67,20.0
4597,SILK HAZELNUT CREAMER,133.0,0.0,6.67,20.0
4598,VITASOY USA ORGANIC NASOYA SOFT,70.0,8.0,3.5,1.5
4599,VITASOY USA NASOYA LITE SILKEN TOFU,41.0,7.5,1.1,0.3
4600,VITASOY USA ORGANIC NASOYA TOFU PLUS EX FIRM,92.0,9.3,4.9,2.7
4601,VITASOY USA ORGANIC NASOYA TOFU PLUS FIRM,74.0,8.4,3.4,2.5
4602,VITASOY USA ORGANIC NASOYA SPROUTED TOFU PLUS SUPER FIRM,115.0,12.1,5.9,3.3
4603,VITASOY USA AZUMAYA EX FIRM TOFU,88.0,9.2,4.6,2.4
4604,VITASOY USA AZUMAYA FIRM TOFU,80.0,8.3,4.2,2.3
4605,VITASOY USA AZUMAYA SILKEN TOFU,43.0,4.4,2.4,1.0
4606,HOUSE FOODS PREMIUM SOFT TOFU,59.0,5.83,2.71,2.74
4607,HOUSE FOODS PREMIUM FIRM TOFU,85.0,9.98,4.19,1.91
4608,BEANS ADZUKI MATURE SD CKD BLD W/SALT,128.0,7.52,0.1,24.77
4609,BEANS BLACK MATURE SEEDS CKD BLD W/SALT,132.0,8.86,0.54,23.71
4610,BEANS BLACK TURTLE SOUP MATURE SEEDS CKD BLD W/SALT,130.0,8.18,0.35,24.35
4611,BEANS CRANBERRY (ROMAN) MATURE SEEDS CKD BLD W/SALT,136.0,9.34,0.46,24.46
4612,BEANS FRENCH MATURE SEEDS CKD BLD W/SALT,129.0,7.05,0.76,24.02
4613,BEANS GREAT NORTHERN MATURE SEEDS CKD BLD W/SALT,118.0,8.33,0.45,21.09
4614,BEANS KIDNEY ALL TYPES MATURE SEEDS CKD BLD W/SALT,127.0,8.67,0.5,22.8
4615,BEANS KIDNEY CALIFORNIA RED MATURE SEEDS CKD BLD W/SALT,124.0,9.13,0.09,22.41
4616,BEANS KIDNEY RED MATURE SEEDS CKD BLD W/SALT,127.0,8.67,0.5,22.8
4617,BEANS KIDNEY RED MATURE SEEDS CND DRND SOI RINSED IN TAP H2O,121.0,8.12,0.93,20.8
4618,BEANS KIDNEY ROYAL RED MATURE SEEDS CKD BLD W/SALT,123.0,9.49,0.17,21.85
4619,BEANS NAVY MATURE SEEDS CKD BLD W/SALT,140.0,8.23,0.62,26.05
4620,BEANS PINK MATURE SEEDS CKD BLD W/SALT,149.0,9.06,0.49,27.91
4621,BEANS PINTO MATURE SEEDS CKD BLD W/SALT,143.0,9.01,0.65,26.22
4622,BEANS PINTO MATURE SEEDS CND DRND SOL RINSED IN TAP H2O,117.0,7.04,0.97,20.77
4623,BEANS SML WHITE MATURE SEEDS CKD BLD W/SALT,142.0,8.97,0.64,25.81
4624,BEANS YEL MATURE SEEDS CKD BLD W/SALT,144.0,9.16,1.08,25.27
4625,BEANS WHITE MATURE SEEDS CKD BLD W/ SALT,139.0,9.73,0.35,25.09
4626,BROADBEANS (FAVA BNS) MATURE SEEDS CKD BLD W/SALT,110.0,7.6,0.4,19.65
4627,CHICKPEAS MATURE SEEDS CKD BLD W/SALT,164.0,8.86,2.59,27.42
4628,CHICKPEAS (GARBANZO BNS BENGAL GRAM) MAT SEEDS CND DRND SOL,139.0,7.05,2.77,22.53
4629,CHICKPEAS (GARBANZO BNS BENGAL GRAM) MAT SDS CND DRND RNSD,138.0,7.04,2.47,22.87
4630,COWPEAS CATJANG MATURE SEEDS CKD BLD W/SALT,117.0,8.13,0.71,20.32
4631,COWPEAS COMMON MATURE SEEDS CKD BLD W/SALT,116.0,7.73,0.53,20.76
4632,HYACINTH BNS MATURE SEEDS CKD BLD W/SALT,117.0,8.14,0.58,20.7
4633,LENTILS MATURE SEEDS CKD BLD W/SALT,114.0,9.02,0.38,19.54
4634,LIMA BNS LRG MATURE SEEDS CKD BLD W/SALT,115.0,7.8,0.38,20.88
4635,LIMA BNS THIN SEEDED (BABY) MATURE SEEDS CKD BLD W/SALT,126.0,8.04,0.38,23.31
4636,LUPINS MATURE SEEDS CKD BLD W/SALT,116.0,15.57,2.92,9.29
4637,MOTHBEANS MATURE SEEDS CKD BLD W/SALT,117.0,7.81,0.55,20.96
4638,MUNG BNS MATURE SEEDS CKD BLD W/SALT,105.0,7.02,0.38,19.15
4639,MUNGO BNS MATURE SEEDS CKD BLD W/SALT,105.0,7.54,0.55,18.34
4640,PEAS SPLIT MATURE SEEDS CKD BLD W/SALT,116.0,8.34,0.39,20.51
4641,PEANUTS ALL TYPES OIL-ROASTED WO/SALT,581.0,26.35,49.3,18.92
4642,PEANUTS ALL TYPES DRY-ROASTED WO/SALT,585.0,23.68,49.66,21.51
4643,PEANUTS SPANISH OIL-ROASTED WO/SALT,579.0,28.01,49.04,17.45
4644,PEANUTS VALENCIA OIL-ROASTED WO/SALT,589.0,27.04,51.24,16.3
4645,PEANUTS VIRGINIA OIL-ROASTED WO/SALT,578.0,25.87,48.62,19.86
4646,PEANUT BUTTER CHUNK STYLE WO/SALT,589.0,24.06,49.94,21.57
4647,PEANUT BUTTER SMOOTH STYLE WO/SALT,588.0,25.09,50.39,19.56
4648,PEANUT BUTTER W/ OMEGA-3 CREAMY,608.0,24.47,54.17,17.0
4649,PIGEON PEAS (RED GM) MATURE SEEDS CKD BLD W/SALT,121.0,6.76,0.38,23.25
4650,SOYBEANS MATURE SEEDS CKD BLD W/SALT,173.0,16.64,8.97,9.93
4651,SOYBEANS MATURE SEEDS RSTED NO SALT ADDED,471.0,35.22,25.4,33.55
4652,SOY FLR FULL-FAT RAW CRUDE PROT BASIS (N X 6.25),434.0,37.8,20.65,31.93
4653,SOY FLR FULL-FAT RSTD CRUDE PROT BASIS (N X 6.25),439.0,38.09,21.86,30.38
4654,SOY FLR DEFATTED CRUDE PROT BASIS (N X 6.25),372.0,49.81,8.9,30.63
4655,SOY FLR LOW-FAT CRUDE PROT BASIS (N x 6.25),369.0,50.93,6.7,33.58
4656,SOY MEAL DEFATTED RAW CRUDE PROT BASIS (N X 6.25),337.0,49.2,2.39,35.89
4657,SOY PROT CONC PRODUCED BY ACID WASH,331.0,58.13,0.46,30.91
4658,SOY PROT CONC CRUDE PROT BASIS (N X 6.25) ACID WASH,328.0,63.63,0.46,25.41
4659,SOY PROT ISOLATE K TYPE,326.0,80.69,0.53,10.22
4660,SOY PROT ISOLATE K TYPE CRUDE PROT BASIS,321.0,88.32,0.53,2.59
4661,SOY SAU MADE FROM SOY&WHEAT (SHOYU) LO NA,53.0,5.17,0.08,8.51
4662,TOFU RAW FIRM PREP W/CA SULFATE,145.0,15.78,8.72,4.27
4663,TOFU RAW REG PREP W/CA SULFATE,76.0,8.08,4.78,1.88
4664,TOFU DRIED-FROZEN (KOYADOFU) PREP W/CA SULFATE,472.0,47.94,30.34,12.79
4665,TOFU FRIED PREP W/CA SULFATE,271.0,17.19,20.18,10.5
4666,TOFU SALTED&FERMENTED (FUYU) PREP W/CA SULFATE,116.0,8.15,8.0,5.15
4667,YARDLONG BNS MATURE SEEDS CKD BLD W/ SALT,118.0,8.29,0.45,21.09
4668,WINGED BNS MATURE SEEDS CKD BLD W/ SALT,147.0,10.62,5.84,14.94
4669,LOMA LINDA LITTLE LINKS CND UNPREP,221.0,19.4,13.5,5.5
4670,LOMA LINDA LOFAT BIG FRANKS CND UNPREP,154.0,23.1,4.7,4.9
4671,LOMA LINDA TENDER ROUNDS W/ GRAVY CND UNPREP,145.0,16.3,5.6,7.4
4672,LOMA LINDA SWISS STAKE W/ GRAVY CND UNPREP,138.0,10.2,6.2,10.4
4673,LOMA LINDA VEGE-BURGER CND UNPREP,114.0,22.2,1.2,3.7
4674,LOMA LINDA REDI-BURGER CND UNPREP,146.0,21.9,2.8,8.2
4675,LOMA LINDA TENDER BITS CND UNPREP,135.0,15.1,4.6,8.3
4676,LOMA LINDA LINKETTS CND UNPREP,209.0,21.3,11.8,4.4
4677,WORTHINGTON CHILI CND UNPREP,126.0,10.4,4.5,10.9
4678,WORTHINGTON CHOPLETS CND UNPREP,103.0,19.4,1.0,4.1
4679,WORTHINGTON DICED CHIK CND UNPREP,80.0,14.7,0.7,3.7
4680,WORTHINGTON FRICHIK ORIGINAL CND UNPREP,160.0,13.4,10.3,3.4
4681,WORTHINGTON LOFAT FRI CHIK CND UNPREP,102.0,14.3,2.7,4.9
4682,WORTHINGTON LOFAT VEJA-LINKS CND UNPREP,123.0,15.8,4.8,4.3
4683,WORTHINGTON MULTIGRAIN CUTLETS CND UNPREP,108.0,18.1,1.3,6.0
4684,WORTHINGTON PRIME STAKES CND UNPREP,135.0,10.2,7.2,7.5
4685,WORTHINGTON SAUCETTES CND UNPREP,219.0,15.0,15.2,5.6
4686,WORTHINGTON SUPER LINKS CND UNPREP,219.0,14.5,15.5,5.5
4687,WORTHINGTON VEG SKALLOPS CND UNPREP,109.0,19.9,1.2,4.6
4688,WORTHINGTON VEG STEAKS CND UNPREP,113.0,20.7,1.2,5.1
4689,WORTHINGTON VEGETARIAN BURGER CND UNPREP,124.0,18.6,2.9,6.2
4690,WORTHINGTON VEJA-LINKS CND UNPREP,155.0,14.6,8.9,4.1
4691,WORTHINGTON CHIC-KETTS FRZ UNPREP,200.0,23.6,9.7,5.1
4692,WORTHINGTON MEATLESS CHICK ROLL FRZ UNPREP,154.0,16.1,8.0,4.3
4693,WORTHINGTON MEATLESS CORNED BF ROLL FRZ UNPREP,245.0,18.6,14.5,9.9
4694,WORTHINGTON DINNER RST FRZ UNPREP,213.0,16.0,13.5,6.9
4695,WORTHINGTON FRIPATS FRZ UNPREP,209.0,23.7,9.1,8.0
4696,WORTHINGTON PROSAGE LINKS FRZ UNPREP,143.0,20.2,4.7,5.0
4697,WORTHINGTON PROSAGE ROLL FRZ UNPREP,261.0,19.6,17.6,6.0
4698,WORTHINGTON SMOKED TURKEY ROLL FRZ UNPREP,251.0,18.5,16.1,7.9
4699,WORTHINGTON STAKELETS FRZ UNPREP,211.0,19.7,10.4,9.6
4700,WORTHINGTON STRIPPLES FRZ UNPREP,346.0,12.4,26.6,14.3
4701,WORTHINGTON WHAM (ROLL) FRZ UNPREP,196.0,17.8,11.3,5.7
4702,MORNINGSTAR FARMS BRKFST PATTIE MADE W/ ORG SOY FRZ UNPREP,205.0,22.1,8.2,10.6
4703,MORNINGSTAR FARMS VEGGIE BRKFST BACON STRIPS FRZ UNPREP,346.0,12.4,26.6,14.3
4704,MORNINGSTAR FARMS VEGGIE BRKFST SAUSAGE LINKS FRZ UNPREP,159.0,19.2,6.1,6.8
4705,MORNINGSTAR FARMS GRILLERS ORIGINAL FRZ UNPREP,213.0,23.9,9.3,8.5
4706,MORNINGSTAR FARMS GRILLERS PRIME FRZ UNPREP,238.0,24.0,13.2,5.9
4707,MORNINGSTAR FARMS ASIAN VEGGIE PATTIES FRZ UNPREP,155.0,10.9,6.2,14.9
4708,MORNINGSTAR FARMS MUSHROOM LOVER'S BURGER FRZ UNPREP,169.0,11.6,8.8,11.8
4709,MORNINGSTAR FARMS TOMATO & BASIL PIZZA BURGER FRZ UNPREP,181.0,15.5,8.3,11.1
4710,MORNINGSTAR FARMS MEATFREE BUFFALO WINGS FRZ UNPREP,230.0,14.5,9.4,23.0
4711,MORNINGSTAR FARMS CHIK'N NUGGETS FRZ UNPREP,221.0,14.4,10.0,21.8
4712,MORNINGSTAR FARMS CHIK PATTIES FRZ UNPREP,197.0,11.8,7.0,22.9
4713,MORNINGSTAR FARMS ITALIAN HERB CHIK PATTIES FRZ UNPREP,236.0,13.6,7.0,31.1
4714,MORNINGSTAR FARMS ORIGINAL CHIK'N TENDERS FRZ UNPREP,233.0,14.7,8.1,25.2
4715,MORNINGSTAR FARMS CORN DOGS FRZ UNPREP,208.0,11.2,3.5,36.0
4716,MORNINGSTAR FARMS MINI CORN DOGS FRZ UNPREP,219.0,13.2,4.7,32.6
4717,MORNINGSTAR FARMS MEAL STARTERS CHIK'N STRIPS FRZ UNPREP,164.0,26.8,3.9,6.7
4718,MORNINGSTAR FARMS SAUSAGE STYLE RECIPE CRUMBLES FRZ UNPREP,159.0,20.2,4.6,9.9
4719,GARDENBURGER BLACK BEAN CHIPOTLE BURGER,134.0,6.6,3.9,22.3
4720,GARDENBURGER BREADED CHIK'N VEGGIE PATTIES,218.0,12.5,12.4,18.5
4721,GARDENBURGER CALIFORNIA BURGER,144.0,5.1,5.2,21.5
4722,GARDENBURGER GARDEN VEGAN,106.0,12.5,1.0,17.0
4723,GARDENBURGER GOURMET BAJA STEAK,123.0,4.4,3.9,22.9
4724,GARDENBURGER GOURMET FIRE DRAGON STEAK,101.0,3.1,4.9,17.9
4725,GARDENBURGER GOURMET TUSCANY STEAK,138.0,7.5,4.9,22.8
4726,GARDENBURGER HERB CRUSTED CUTLET,200.0,13.1,10.0,17.7
4727,GARDENBURGER MALIBU BURGER MADE W/ ORG WHL GRNS CORN & CRRTS,188.0,5.6,9.3,23.1
4728,GARDENBURGER ORIGINAL,145.0,6.4,4.5,25.3
4729,GARDENBURGER FLAME GRILLED BURGER,123.0,17.5,4.7,8.6
4730,GARDENBURGER GOURMET HULA STEAK,162.0,3.8,5.4,30.5
4731,GARDENBURGER HOMESTYLE CLASSIC VEGGIE BURGER,171.0,17.5,8.8,10.6
4732,GARDENBURGER SAVORY PORTABELLA VEGGIE BURGER,139.0,6.3,3.6,23.4
4733,GARDENBURGER SUN-DRIED TOMATO BASIL BURGER,137.0,5.5,3.6,23.7
4734,GARDENBURGER VEGGIE MEDLEY BURGER,135.0,4.6,3.7,24.3
4735,MORNINGSTAR FARMS MPL FLAV VEG SAUSAGE PATTIES FRZ UNPREP,222.0,26.3,7.2,13.6
4736,MORNINGSTAR FARMS CHIK'N GRILL VEGGIE PATTIES FRZ UNPREP,118.0,12.8,4.8,10.2
4737,MORNINGSTAR FARMS VEGGIE ITALIAN STYLE SAUSAGE FRZ UNPREP,187.0,17.5,8.7,10.6
4738,MORNINGSTAR FARMS BBQ RIBLETS FRZ UNPREP,157.0,13.1,2.5,24.4
4739,WORTHINGTON LEANIES FRZ UNPREP,251.0,19.5,16.5,6.1
4740,MORNINGSTAR FARMS CALIFORNIA TURK'Y BURGER FRZ UNPREP,142.0,14.1,7.9,10.9
4741,MORNINGSTAR FARMS HOT & SPICY VEG SAUSAGE PATTIES FRZ UNPREP,185.0,21.8,7.4,8.5
4742,MORNINGSTAR FARMS LASAGNA W/ VEGGIE SAUSAGE FRZ UNPREAPRED,96.0,7.1,2.3,14.4
4743,MORNINGSTAR FARMS VEGGIE SWT & SOUR CHIK'N FRZ UNPREP,119.0,5.0,2.3,20.4
4744,MORNINGSTAR FARMS GRILLERS QUARTER POUND VEG BRGR FRZ UNPREP,219.0,22.8,10.5,8.9
4745,MORNINGSTAR FARMS ENTREE CHILI FRZ UNPREP,67.0,4.9,1.0,12.6
4746,MORNINGSTAR FARMS BACON EGG & CHS BISCUIT FRZ UNPREP,258.0,8.7,8.0,38.6
4747,"LAMB DOM COMP OF RTL CUTS LN&FAT 1/4""FAT CHOIC RAW",267.0,16.88,21.59,0.0
4748,"LAMB DOM COMP OF RTL CUTS LN&FAT 1/4""FAT CHOIC CKD",294.0,24.52,20.94,0.0
4749,"LAMB DOM COMP OF RTL CUTS LN 1/4""FAT CHOIC RAW",134.0,20.29,5.25,0.0
4750,"LAMB DOM COMP OF RTL CUTS LN 1/4""FAT CHOIC CKD",206.0,28.22,9.52,0.0
4751,"LAMB DOM COMP OF RTL CUTS FAT 1/4""FAT CHOIC RAW",665.0,6.65,70.61,0.0
4752,"LAMB DOM COMP OF RTL CUTS FAT 1/4""FAT CHOIC CKD",586.0,12.16,59.18,0.0
4753,"LAMB DOM FORESHANK LN&FAT 1/4""FAT CHOIC RAW",201.0,18.91,13.38,0.0
4754,"LAMB DOM FORESHANK LN&FAT 1/4""FAT CHOIC CKD BRSD",243.0,28.37,13.46,0.0
4755,"LAMB DOM FORESHANK LN 1/4""FAT CHOIC RAW",120.0,21.08,3.29,0.0
4756,"LAMB DOM FORESHANK LN 1/4""FAT CHOIC CKD BRSD",187.0,31.01,6.02,0.0
4757,"LAMB DOM LEG WHL (SHK&SIRL) LN&FAT 1/4""FAT CHOIC RAW",230.0,17.91,17.07,0.0
4758,"LAMB DOM LEG WHL (SHK&SIRL) LN&FAT 1/4""FAT CHOIC CKD RSTD",258.0,25.55,16.48,0.0
4759,"LAMB DOM LEG WHL (SHK&SIRL) LN 1/4""FAT CHOIC RAW",128.0,20.56,4.51,0.0
4760,"LAMB DOM LEG WHL (SHK&SIRL) LN 1/4""FAT CHOIC CKD RSTD",191.0,28.3,7.74,0.0
4761,"LAMB DOM LEG SHANK HALF LN&FAT 1/4""FAT CHOIC RAW",201.0,18.58,13.49,0.0
4762,"LAMB DOM LEG SHANK HALF LN&FAT 1/4""FAT CHOIC CKD RSTD",225.0,26.41,12.45,0.0
4763,"LAMB DOM LEG SHANK HALF LN 1/4""FAT CHOIC RAW",125.0,20.52,4.19,0.0
4764,"LAMB DOM LEG SHANK HALF LN 1/4""FAT CHOIC CKD RSTD",180.0,28.17,6.67,0.0
4765,"LAMB DOM LEG SIRLOIN HALF LN&FAT 1/4""FAT CHOIC RAW",272.0,16.94,22.11,0.0
4766,"LAMB DOM LEG SIRLOIN HALF LN&FAT 1/4""FAT CHOIC CKD RSTD",292.0,24.63,20.67,0.0
4767,"LAMB DOM LEG SIRLOIN HALF LN 1/4""FAT CHOIC RAW",134.0,20.55,5.08,0.0
4768,"LAMB DOM LEG SIRLOIN HALF LN 1/4""FAT CHOIC CKD RSTD",204.0,28.35,9.17,0.0
4769,"LAMB DOM LOIN LN&FAT 1/4""FAT CHOIC RAW",310.0,16.32,26.63,0.0
4770,"LAMB DOM LOIN LN&FAT 1/4""FAT CHOIC CKD BRLD",316.0,25.17,23.08,0.0
4771,"LAMB DOM LOIN LN&FAT 1/4""FAT CHOIC CKD RSTD",309.0,22.55,23.59,0.0
4772,"LAMB DOM LOIN LN 1/4""FAT CHOIC RAW",143.0,20.88,5.94,0.0
4773,"LAMB DOM LOIN LN 1/4""FAT CHOIC CKD BRLD",216.0,29.99,9.73,0.0
4774,"LAMB DOM LOIN LN 1/4""FAT CHOIC CKD RSTD",202.0,26.59,9.76,0.0
4775,"LAMB DOM RIB LN&FAT 1/4""FAT CHOIC RAW",372.0,14.52,34.39,0.0
4776,"LAMB DOM RIB LN&FAT 1/4""FAT CHOIC CKD BRLD",361.0,22.13,29.59,0.0
4777,"LAMB DOM RIB LN&FAT 1/4""FAT CHOIC CKD RSTD",359.0,21.12,29.82,0.0
4778,"LAMB DOM RIB LN 1/4""FAT CHOIC RAW",169.0,19.98,9.23,0.0
4779,"LAMB DOM RIB LN 1/4""FAT CHOIC CKD BRLD",235.0,27.74,12.95,0.0
4780,"LAMB DOM RIB LN 1/4""FAT CHOIC CKD RSTD",232.0,26.16,13.31,0.0
4781,"LAMB DOM SHLDR WHL (ARM&BLD) LN&FAT 1/4""FAT CHOIC RAW",264.0,16.58,21.45,0.0
4782,"LAMB DOM SHLDR WHL (ARM&BLD) LN&FAT 1/4""FAT CHOIC CKD BRSD",344.0,28.68,24.55,0.0
4783,"LAMB DOM SHLDR WHL (ARM&BLD) LN&FAT 1/4""FAT CHOIC CKD BRLD",278.0,24.42,19.26,0.0
4784,"LAMB DOM SHLDR WHL (ARM&BLD) LN&FAT 1/4""FAT CHOIC CKD RSTD",276.0,22.51,19.97,0.0
4785,"LAMB DOM SHLDR WHL (ARM&BLD) LN 1/4""FAT CHOIC RAW",144.0,19.55,6.76,0.0
4786,"LAMB DOM SHLDR WHL (ARM&BLD) LN 1/4""FAT CHOIC CKD BRSD",283.0,32.81,15.89,0.0
4787,"LAMB DOM SHLDR WHL (ARM&BLD) LN 1/4""FAT CHOIC CKD BRLD",210.0,27.12,10.5,0.0
4788,"LAMB DOM SHLDR WHL (ARM&BLD) LN 1/4""FAT CHOIC CKD RSTD",204.0,24.94,10.77,0.0
4789,"LAMB DOM SHLDR ARM LN&FAT 1/4""FAT CHOIC RAW",260.0,16.79,20.9,0.0
4790,"LAMB DOM SHLDR ARM LN&FAT 1/4""FAT CHOIC CKD BRSD",346.0,30.39,24.0,0.0
4791,"LAMB DOM SHLDR ARM LN&FAT 1/4""FAT CHOIC CKD BRLD",281.0,24.44,19.55,0.0
4792,"LAMB DOM SHLDR ARM LN&FAT 1/4""FAT CHOIC CKD RSTD",279.0,22.53,20.24,0.0
4793,"LAMB DOM SHLDR ARM LN 1/4""FAT CHOIC RAW",132.0,19.99,5.2,0.0
4794,"LAMB DOM SHLDR ARM LN 1/4""FAT CHOIC CKD BRSD",279.0,35.54,14.08,0.0
